Entity,Code,Year,"CO2 concentrations (NOAA, 2018)"
World,OWID_WRL,1,276.7
World,OWID_WRL,30,277.9
World,OWID_WRL,56,277.4
World,OWID_WRL,104,277.5
World,OWID_WRL,136,278.1
World,OWID_WRL,154,278.07
World,OWID_WRL,175,277.56
World,OWID_WRL,241,280.25
World,OWID_WRL,266,278.31
World,OWID_WRL,274,280.24
World,OWID_WRL,296,280.91
World,OWID_WRL,318,281.69
World,OWID_WRL,357,277.8
World,OWID_WRL,384,277.25
World,OWID_WRL,406,279.13
World,OWID_WRL,437,280
World,OWID_WRL,488,277.11
World,OWID_WRL,518,276.79
World,OWID_WRL,552,276.56
World,OWID_WRL,557,278.46
World,OWID_WRL,582,276.2
World,OWID_WRL,615,277.87
World,OWID_WRL,637,279.59
World,OWID_WRL,669,278.45
World,OWID_WRL,701,277.1
World,OWID_WRL,730,279.99
World,OWID_WRL,762,279.29
World,OWID_WRL,793,279.72
World,OWID_WRL,822,278.62
World,OWID_WRL,875,279.42
World,OWID_WRL,914,280.11
World,OWID_WRL,958,277.41
World,OWID_WRL,983,278.74
World,OWID_WRL,1018,279.8
World,OWID_WRL,1019,280.06
World,OWID_WRL,1040,280.92
World,OWID_WRL,1049,280.97
World,OWID_WRL,1070,282.84
World,OWID_WRL,1099,283.09
World,OWID_WRL,1116,282.84
World,OWID_WRL,1146,284.51
World,OWID_WRL,1166,283.97
World,OWID_WRL,1200,284.54
World,OWID_WRL,1211,283.69
World,OWID_WRL,1251,282.41
World,OWID_WRL,1260,282.2
World,OWID_WRL,1278,278.43
World,OWID_WRL,1307,281.58
World,OWID_WRL,1330,284.07
World,OWID_WRL,1349,278.36
World,OWID_WRL,1390,280.91
World,OWID_WRL,1411,279.7
World,OWID_WRL,1429,279.73
World,OWID_WRL,1449,282.23
World,OWID_WRL,1469,280.31
World,OWID_WRL,1502,283.12
World,OWID_WRL,1530,283.95
World,OWID_WRL,1550,283.53
World,OWID_WRL,1560,281.83
World,OWID_WRL,1573,282.57
World,OWID_WRL,1588,281.11
World,OWID_WRL,1591,279.36
World,OWID_WRL,1603,275.07
World,OWID_WRL,1609,271.11
World,OWID_WRL,1629,273.78
World,OWID_WRL,1640,276.69
World,OWID_WRL,1649,278.02
World,OWID_WRL,1682,276.66
World,OWID_WRL,1690,276.32
World,OWID_WRL,1694,277.36
World,OWID_WRL,1723,277.64
World,OWID_WRL,1734,278.31
World,OWID_WRL,1741,276.81
World,OWID_WRL,1749,277.6
World,OWID_WRL,1752,277.23
World,OWID_WRL,1763,277.16
World,OWID_WRL,1764,276.4
World,OWID_WRL,1773,277.86
World,OWID_WRL,1779,280.24
World,OWID_WRL,1780,273.07
World,OWID_WRL,1794,281.62
World,OWID_WRL,1796,281.35
World,OWID_WRL,1799,282.8
World,OWID_WRL,1814,284.43
World,OWID_WRL,1825,281.36
World,OWID_WRL,1827,285.91
World,OWID_WRL,1833,284.45
World,OWID_WRL,1837,284.15
World,OWID_WRL,1841,283.65
World,OWID_WRL,1843,281.58
World,OWID_WRL,1844,283.53
World,OWID_WRL,1845,283.18
World,OWID_WRL,1846,283.62
World,OWID_WRL,1847,286.84
World,OWID_WRL,1850,284
World,OWID_WRL,1851,287.13
World,OWID_WRL,1854,288.05
World,OWID_WRL,1855,285.57
World,OWID_WRL,1857,283.16
World,OWID_WRL,1859,286.63
World,OWID_WRL,1862,287.17
World,OWID_WRL,1863,285.35
World,OWID_WRL,1864,286.65
World,OWID_WRL,1867,285.05
World,OWID_WRL,1868,288.76
World,OWID_WRL,1870,287.16
World,OWID_WRL,1873,286.66
World,OWID_WRL,1874,291.56
World,OWID_WRL,1877,289.33
World,OWID_WRL,1880,287.77
World,OWID_WRL,1883,292.46
World,OWID_WRL,1884,289.49
World,OWID_WRL,1886,288.12
World,OWID_WRL,1887,294.34
World,OWID_WRL,1889,292.34
World,OWID_WRL,1890,290.92
World,OWID_WRL,1892,295.17
World,OWID_WRL,1893,295.09
World,OWID_WRL,1894,293.49
World,OWID_WRL,1899,296.16
World,OWID_WRL,1900,294.22
World,OWID_WRL,1902,295.61
World,OWID_WRL,1904,295.99
World,OWID_WRL,1905,299.02
World,OWID_WRL,1906,298.48
World,OWID_WRL,1909,301.5
World,OWID_WRL,1910,297.87
World,OWID_WRL,1911,298.36
World,OWID_WRL,1913,301.3
World,OWID_WRL,1914,300.7
World,OWID_WRL,1916,301.92
World,OWID_WRL,1918,303.85
World,OWID_WRL,1919,304.61
World,OWID_WRL,1920,301.88
World,OWID_WRL,1923,304.69
World,OWID_WRL,1925,304.84
World,OWID_WRL,1928,306.84
World,OWID_WRL,1929,305.62
World,OWID_WRL,1931,305.74
World,OWID_WRL,1932,308.26
World,OWID_WRL,1933,307.11
World,OWID_WRL,1934,308.35
World,OWID_WRL,1935,306.32
World,OWID_WRL,1936,308.3
World,OWID_WRL,1937,307.41
World,OWID_WRL,1938,311.07
World,OWID_WRL,1939,310.83
World,OWID_WRL,1940,310.38
World,OWID_WRL,1941,309.77
World,OWID_WRL,1942,312.37
World,OWID_WRL,1944,312.36
World,OWID_WRL,1945,310.94
World,OWID_WRL,1946,312.26
World,OWID_WRL,1947,311.61
World,OWID_WRL,1948,311.57
World,OWID_WRL,1949,309.69
World,OWID_WRL,1950,312.83
World,OWID_WRL,1952,312.18
World,OWID_WRL,1954,312.73
World,OWID_WRL,1955,314.71
World,OWID_WRL,1956,315.34
World,OWID_WRL,1957,315.34
World,OWID_WRL,1958,315.34
World,OWID_WRL,1959,315.97
World,OWID_WRL,1960,316.91
World,OWID_WRL,1961,317.64
World,OWID_WRL,1962,318.45
World,OWID_WRL,1963,318.99
World,OWID_WRL,1964,319.62
World,OWID_WRL,1965,320.04
World,OWID_WRL,1966,321.38
World,OWID_WRL,1967,322.16
World,OWID_WRL,1968,323.04
World,OWID_WRL,1969,324.62
World,OWID_WRL,1970,325.68
World,OWID_WRL,1971,326.32
World,OWID_WRL,1972,327.45
World,OWID_WRL,1973,329.68
World,OWID_WRL,1974,330.18
World,OWID_WRL,1975,331.11
World,OWID_WRL,1976,332.04
World,OWID_WRL,1977,333.83
World,OWID_WRL,1978,335.4
World,OWID_WRL,1979,336.84
World,OWID_WRL,1980,338.75
World,OWID_WRL,1981,340.11
World,OWID_WRL,1982,341.45
World,OWID_WRL,1983,343.05
World,OWID_WRL,1984,344.65
World,OWID_WRL,1985,346.12
World,OWID_WRL,1986,347.42
World,OWID_WRL,1987,349.19
World,OWID_WRL,1988,351.57
World,OWID_WRL,1989,353.12
World,OWID_WRL,1990,354.39
World,OWID_WRL,1991,355.61
World,OWID_WRL,1992,356.45
World,OWID_WRL,1993,357.1
World,OWID_WRL,1994,358.83
World,OWID_WRL,1995,360.82
World,OWID_WRL,1996,362.61
World,OWID_WRL,1997,363.73
World,OWID_WRL,1998,366.7
World,OWID_WRL,1999,368.38
World,OWID_WRL,2000,369.55
World,OWID_WRL,2001,371.14
World,OWID_WRL,2002,373.28
World,OWID_WRL,2003,375.8
World,OWID_WRL,2004,377.52
World,OWID_WRL,2005,379.8
World,OWID_WRL,2006,381.9
World,OWID_WRL,2007,383.79
World,OWID_WRL,2008,385.6
World,OWID_WRL,2009,387.43
World,OWID_WRL,2010,389.9
World,OWID_WRL,2011,391.65
World,OWID_WRL,2012,393.85
World,OWID_WRL,2013,396.52
World,OWID_WRL,2014,398.65
World,OWID_WRL,2015,400.83
World,OWID_WRL,2016,404.24
World,OWID_WRL,2017,406.55
World,OWID_WRL,2018,408.52